tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA94-19e	200	510	30	1.00	-1.00	-	51.0	8.000e+00	9.053e-01	4.000e+00	1.680e-02	2.580e-01	1.036e-02	3.271e+00	3.492e+00	t
NA94-19e	300	510	30	1.00	-1.00	-	51.0	7.000e+00	7.911e-01	4.000e+00	2.338e-02	2.952e-01	1.855e-02	3.296e+00	3.831e+00	t
NA94-19f	300	510	30	1.00	-1.00	-	38.3	7.000e+00	7.951e-01	4.000e+00	3.731e-02	3.631e-01	1.446e-01	2.240e+00	1.682e+00	t
NA94-2a	0	460	30	1.00	-1.00	-	55.1	8.000e+00	9.688e-01	3.000e+00	1.442e-02	5.764e-01	4.558e-02	1.627e+00	6.096e-01	t
NA94-2a	0	490	30	1.00	-1.00	-	54.1	9.000e+00	9.794e-01	3.000e+00	2.368e-02	5.702e-01	1.616e-01	1.561e+00	5.614e-01	t
NA94-2a	0	510	30	1.00	-1.00	-	54.3	1.000e+01	9.873e-01	4.000e+00	2.171e-02	5.656e-01	1.417e-01	1.560e+00	3.712e-01	t
NA94-2a	100	460	30	1.00	-1.00	-	55.6	7.000e+00	9.476e-01	3.000e+00	1.780e-02	5.893e-01	-4.686e-08	1.863e+00	8.072e-01	t
NA94-2b	0	430	30	1.00	-1.00	-	58.1	7.000e+00	9.319e-01	2.000e+00	6.383e-02	5.367e-01	1.409e-01	3.223e+00	8.587e-01	t
NA94-2b	0	460	30	1.00	-1.00	-	58.4	8.000e+00	9.477e-01	3.000e+00	5.485e-02	5.278e-01	9.181e-02	3.027e+00	8.029e-01	t
NA94-2b	0	490	30	1.00	-1.00	-	57.9	9.000e+00	9.615e-01	3.000e+00	4.918e-02	5.202e-01	1.456e-01	2.889e+00	9.347e-01	t
NA94-2b	100	460	30	1.00	-1.00	-	59.3	7.000e+00	8.993e-01	3.000e+00	7.156e-02	5.562e-01	-5.489e-08	3.290e+00	9.526e-01	t
NA94-2b	100	490	30	1.00	-1.00	-	58.7	8.000e+00	9.131e-01	3.000e+00	6.379e-02	5.478e-01	-8.887e-08	3.169e+00	1.080e+00	t
NA94-2c	0	430	30	1.00	-1.00	-	60.0	7.000e+00	9.353e-01	2.000e+00	4.612e-02	5.746e-01	1.612e-01	1.605e+00	8.859e-01	t
NA94-2c	0	460	30	1.00	-1.00	-	59.9	8.000e+00	9.536e-01	3.000e+00	3.930e-02	5.635e-01	1.385e-01	1.537e+00	8.021e-01	t
NA94-2c	0	510	30	1.00	-1.00	-	59.4	1.000e+01	9.883e-01	4.000e+00	3.261e-02	5.437e-01	1.619e-01	1.536e+00	7.912e-01	t
NA94-2c	100	460	30	1.00	-1.00	-	60.5	7.000e+00	9.462e-01	3.000e+00	5.101e-02	5.680e-01	-6.899e-08	1.641e+00	9.532e-01	t
NA94-2c	100	490	30	1.00	-1.00	-	59.8	8.000e+00	9.641e-01	3.000e+00	4.660e-02	5.574e-01	-1.853e-08	1.708e+00	5.870e-01	t
NA94-2c	100	510	30	1.00	-1.00	-	59.8	9.000e+00	9.809e-01	4.000e+00	4.189e-02	5.479e-01	-7.237e-08	1.695e+00	9.367e-01	t
NA94-2d	0	350	30	1.00	-1.00	-	54.2	5.000e+00	8.026e-01	1.000e+00	8.083e-02	5.497e-01	8.793e-06	1.491e+00	2.218e+00	t
NA94-2d	0	400	30	1.00	-1.00	-	54.5	6.000e+00	9.249e-01	2.000e+00	5.632e-02	4.770e-01	-2.862e-02	1.479e+00	1.658e+00	t
NA94-2d	0	430	30	1.00	-1.00	-	54.9	7.000e+00	9.629e-01	2.000e+00	4.471e-02	4.582e-01	-4.619e-02	1.504e+00	1.221e+00	t
NA94-2d	0	460	30	1.00	-1.00	-	54.9	8.000e+00	9.667e-01	3.000e+00	3.769e-02	4.564e-01	-3.969e-02	1.437e+00	1.099e+00	t
NA94-2d	0	490	30	1.00	-1.00	-	54.9	9.000e+00	9.791e-01	3.000e+00	3.299e-02	4.506e-01	-3.436e-02	1.422e+00	9.281e-01	t
